"ENQ090.Code.or.Value","ENQ090.Value.Description","ENQ090.Count","ENQ090.Cumulative","ENQ090.Skip.to.Item"
"1","Yes",248,248,NA
"2","No",6118,6366,NA
"7","Refused",0,6366,NA
"9","Don't know",4,6370,NA
".","Missing",1373,7743,NA
