"LBCBR11L.Code.or.Value","LBCBR11L.Value.Description","LBCBR11L.Count","LBCBR11L.Cumulative","LBCBR11L.Skip.to.Item"
"0.7071 to 120.1","Range of Values",300,300,NA
".","Missing",1,301,NA
