"LBX4CE.Code.or.Value","LBX4CE.Value.Description","LBX4CE.Count","LBX4CE.Cumulative","LBX4CE.Skip.to.Item"
"0.028","0.028",3082,3082,NA
".","Missing",312,3394,NA
