"CBQ610.Code.or.Value","CBQ610.Value.Description","CBQ610.Count","CBQ610.Cumulative","CBQ610.Skip.to.Item"
"1","Yes",771,771,NA
"2","No",1162,1933,NA
"7","Refused",0,1933,NA
"9","Don't know",0,1933,NA
".","Missing",936,2869,NA
