"FSQ012.Code.or.Value","FSQ012.Value.Description","FSQ012.Count","FSQ012.Cumulative","FSQ012.Skip.to.Item"
"1","Yes",2877,2877,""
"2","No",865,3742,"FSQ162"
"7","Refused",3,3745,"FSQ162"
"9","Don't know",2,3747,"FSQ162"
".","Missing",6428,10175,""
