"DS1TCHL.Code.or.Value","DS1TCHL.Value.Description","DS1TCHL.Count","DS1TCHL.Cumulative","DS1TCHL.Skip.to.Item"
"0 to 668","Range of Values",469,469,NA
".","Missing",9784,10253,NA
