"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",104485,104485,NA
"2","Spanish",13945,118430,NA
"3","English and Spanish",1109,119539,NA
"4","Other",664,120203,NA
"5","Asian Languages",717,120920,NA
"6","Asian Languages and English",561,121481,NA
".","Missing",0,121481,NA
