"AUAFMANL.Code.or.Value","AUAFMANL.Value.Description","AUAFMANL.Count","AUAFMANL.Cumulative","AUAFMANL.Skip.to.Item"
"1","None",1883,1883,NA
"2","500 Hz",1,1884,NA
"3","1000 Hz",1,1885,NA
"4","2000 Hz",2,1887,NA
"5","3000 Hz",0,1887,NA
"6","4000 Hz",2,1889,NA
"7","6000 Hz",3,1892,NA
"8","8000 Hz",14,1906,NA
".","Missing",140,2046,NA
