"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.88 to 1269","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
