"DXXPT25X.Code.or.Value","DXXPT25X.Value.Description","DXXPT25X.Count","DXXPT25X.Cumulative","DXXPT25X.Skip.to.Item"
"733.8 to 1268.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
