"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"41 to 89","Range of Values",2915,2915,NA
"7777","Refused",1,2916,NA
"9999","Don't know",122,3038,NA
".","Missing",3123,6161,NA
