"LBCF01LA.Code.or.Value","LBCF01LA.Value.Description","LBCF01LA.Count","LBCF01LA.Cumulative","LBCF01LA.Skip.to.Item"
"0.0733 to 1.43","Range of Values",246,246,NA
".","Missing",1,247,NA
