"LBX128LA.Code.or.Value","LBX128LA.Value.Description","LBX128LA.Count","LBX128LA.Cumulative","LBX128LA.Skip.to.Item"
"1.3 to 32.3","Range of Values",1927,1927,NA
".","Missing",347,2274,NA
