"SXQ265.Code.or.Value","SXQ265.Value.Description","SXQ265.Count","SXQ265.Cumulative","SXQ265.Skip.to.Item"
"1","Yes",120,120,NA
"2","No",3407,3527,NA
"7","Refused",1,3528,NA
"9","Don't know",3,3531,NA
".","Missing",1771,5302,NA
