"RFXC122.Code.or.Value","RFXC122.Value.Description","RFXC122.Count","RFXC122.Cumulative","RFXC122.Skip.to.Item"
"-4.059 to 6.199","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
