"HOQ040.Code.or.Value","HOQ040.Value.Description","HOQ040.Count","HOQ040.Cumulative","HOQ040.Skip.to.Item"
"1","1990 to present",2188,2188,NA
"2","1978 to 1989",1474,3662,NA
"3","1960 to 1977",1442,5104,NA
"4","1950 to 1959",858,5962,NA
"5","1940 to 1949",516,6478,NA
"6","Before 1940",990,7468,NA
"77","Refused",11,7479,NA
"99","Don't know",2760,10239,NA
".","Missing",109,10348,NA
