"DSQICHL.Code.or.Value","DSQICHL.Value.Description","DSQICHL.Count","DSQICHL.Cumulative","DSQICHL.Skip.to.Item"
"0.003 to 380","Range of Values",850,850,NA
".","Missing",7419,8269,NA
