"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"79.7 to 202.6","Range of Values",9067,9067,NA
".","Missing",746,9813,NA
