"DS1IKCAL.Code.or.Value","DS1IKCAL.Value.Description","DS1IKCAL.Count","DS1IKCAL.Cumulative","DS1IKCAL.Skip.to.Item"
"1 to 249","Range of Values",1278,1278,NA
".","Missing",4092,5370,NA
