"BMAAMP.Code.or.Value","BMAAMP.Value.Description","BMAAMP.Count","BMAAMP.Cumulative","BMAAMP.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",9161,9164,NA
".","Missing",118,9282,NA
