"BIXS143K.Code.or.Value","BIXS143K.Value.Description","BIXS143K.Count","BIXS143K.Cumulative","BIXS143K.Skip.to.Item"
"141.12 to 909.39","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
