"WTSSMC2Y.Code.or.Value","WTSSMC2Y.Value.Description","WTSSMC2Y.Count","WTSSMC2Y.Cumulative","WTSSMC2Y.Skip.to.Item"
"1250.36054 to 298307.64146","Range of Values",4136,4136,NA
"0","No lab specimen",3,4139,NA
".","Missing",0,4139,NA
