"DBQ235B.Code.or.Value","DBQ235B.Value.Description","DBQ235B.Count","DBQ235B.Cumulative","DBQ235B.Skip.to.Item"
"0","Never",140,140,NA
"1","Rarely-less than once a week",272,412,NA
"2","Sometimes-once a week or more, but less than once a 
    day",861,1273,NA
"3","Often-once a day or more",2924,4197,NA
"4","Varied",38,4235,NA
"7","Refused",0,4235,NA
"9","Don't know",20,4255,NA
".","Missing",5501,9756,NA
