"LBD206LC.Code.or.Value","LBD206LC.Value.Description","LBD206LC.Count","LBD206LC.Cumulative","LBD206LC.Skip.to.Item"
"0","At or above the detection limit",1733,1733,NA
"1","Below lower detection limit",134,1867,NA
".","Missing",418,2285,NA
