"LBX156.Code.or.Value","LBX156.Value.Description","LBX156.Count","LBX156.Cumulative","LBX156.Skip.to.Item"
"0.0004 to 2.421","Range of Values",1880,1880,NA
".","Missing",405,2285,NA
