"AUXRR231.Code.or.Value","AUXRR231.Value.Description","AUXRR231.Count","AUXRR231.Cumulative","AUXRR231.Skip.to.Item"
"-10 to 42","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
