"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.3 to 5.4","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
