"LBXHA.Code.or.Value","LBXHA.Value.Description","LBXHA.Count","LBXHA.Cumulative","LBXHA.Skip.to.Item"
"1","Positive",4075,4075,NA
"2","Negative",4154,8229,NA
"3","Indeterminate",1,8230,NA
".","Missing",1292,9522,NA
