"DXXPT34Y.Code.or.Value","DXXPT34Y.Value.Description","DXXPT34Y.Count","DXXPT34Y.Cumulative","DXXPT34Y.Skip.to.Item"
"141.3 to 368.8","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
