"SSBR2.Code.or.Value","SSBR2.Value.Description","SSBR2.Count","SSBR2.Cumulative","SSBR2.Skip.to.Item"
"0.3 to 18.1","Range of Values",77,77,NA
".","Missing",1,78,NA
