"URXVOL2.Code.or.Value","URXVOL2.Value.Description","URXVOL2.Count","URXVOL2.Cumulative","URXVOL2.Skip.to.Item"
"1 to 444","Range of Values",1223,1223,NA
".","Missing",6713,7936,NA
