"URXAPE.Code.or.Value","URXAPE.Value.Description","URXAPE.Count","URXAPE.Cumulative","URXAPE.Skip.to.Item"
"0.07 to 8.57","Range of Values",2491,2491,NA
".","Missing",121,2612,NA
