"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.1 to 794.5","Range of Values",715,715,NA
".","Missing",4655,5370,NA
