"DXXPT0Y.Code.or.Value","DXXPT0Y.Value.Description","DXXPT0Y.Count","DXXPT0Y.Cumulative","DXXPT0Y.Skip.to.Item"
"89 to 336.8","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
