"HUQ050.Code.or.Value","HUQ050.Value.Description","HUQ050.Count","HUQ050.Cumulative","HUQ050.Skip.to.Item"
"0","None",1641,1641,""
"1","1",2346,3987,"HUD070"
"2","2 to 3",3259,7246,"HUD070"
"3","4 to 9",2589,9835,"HUD070"
"4","10 to 12",578,10413,"HUD070"
"5","13 or more",618,11031,"HUD070"
"77","Refused",0,11031,"HUD070"
"99","Don't know",8,11039,"HUD070"
".","Missing",0,11039,""
