"DBQ370.Code.or.Value","DBQ370.Value.Description","DBQ370.Count","DBQ370.Cumulative","DBQ370.Skip.to.Item"
"1","Yes",2410,2410,""
"2","No",127,2537,"DBQ400"
"7","Refused",0,2537,"DBQ400"
"9","Don't know",5,2542,"DBQ400"
".","Missing",7995,10537,""
