"LBXRDW.Code.or.Value","LBXRDW.Value.Description","LBXRDW.Count","LBXRDW.Cumulative","LBXRDW.Skip.to.Item"
"10.5 to 28.2","Range of Values",7982,7982,NA
".","Missing",850,8832,NA
