"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",2220,2220,NA
"1","Below lower detection limit",732,2952,NA
".","Missing",327,3279,NA
