"WTFSM.Code.or.Value","WTFSM.Value.Description","WTFSM.Count","WTFSM.Cumulative","WTFSM.Skip.to.Item"
"5682.47 to 700606.65","Range of Values",2272,2272,NA
"0","No Lab Result",77,2349,NA
".","Missing",0,2349,NA
