"DBD945.Code.or.Value","DBD945.Value.Description","DBD945.Count","DBD945.Cumulative","DBD945.Skip.to.Item"
"1","Yes",1206,1206,NA
"2","No",1244,2450,NA
"7","Refused",0,2450,NA
"9","Don't know",0,2450,NA
".","Missing",495,2945,NA
