"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"13 to 266","Range of Values",3308,3308,NA
".","Missing",273,3581,NA
