"LBXBSE.Code.or.Value","LBXBSE.Value.Description","LBXBSE.Count","LBXBSE.Cumulative","LBXBSE.Skip.to.Item"
"96.24 to 692.52","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
