"CIQP18.Code.or.Value","CIQP18.Value.Description","CIQP18.Count","CIQP18.Cumulative","CIQP18.Skip.to.Item"
"33","33",1,1,NA
"7777","Refused",0,1,NA
"9999","Don't know",0,1,NA
".","Missing",777,778,NA
