"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0.13 to 1115.5","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
