"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.025 to 5.06","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
