"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"4 to 800","Range of Values",2271,2271,NA
".","Missing",78,2349,NA
