"AUXRR272.Code.or.Value","AUXRR272.Value.Description","AUXRR272.Count","AUXRR272.Cumulative","AUXRR272.Skip.to.Item"
"-12 to 122","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
