"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"1.71 to 75.24","Range of Values",5969,5969,NA
".","Missing",580,6549,NA
