"MCQ240E.Code.or.Value","MCQ240E.Value.Description","MCQ240E.Count","MCQ240E.Cumulative","MCQ240E.Skip.to.Item"
"2 to 83","Range of Values",74,74,NA
"85","85 years or older",3,77,NA
"77777","Refused",0,77,NA
"99999","Don't know",0,77,NA
".","Missing",9745,9822,NA
