"URXMB1.Code.or.Value","URXMB1.Value.Description","URXMB1.Count","URXMB1.Cumulative","URXMB1.Skip.to.Item"
"0.495 to 3.6","Range of Values",2340,2340,NA
".","Missing",122,2462,NA
