"SSGAM.Code.or.Value","SSGAM.Value.Description","SSGAM.Count","SSGAM.Cumulative","SSGAM.Skip.to.Item"
"0.5 to 3.5","Range of Values",159,159,NA
".","Missing",1558,1717,NA
