"WTSPO46.Code.or.Value","WTSPO46.Value.Description","WTSPO46.Count","WTSPO46.Cumulative","WTSPO46.Skip.to.Item"
"0.0000000 to 848732.3743400","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
