"DS2TCALC.Code.or.Value","DS2TCALC.Value.Description","DS2TCALC.Count","DS2TCALC.Cumulative","DS2TCALC.Skip.to.Item"
"1 to 3220","Range of Values",1267,1267,NA
".","Missing",7437,8704,NA
