"WBXA095.Code.or.Value","WBXA095.Value.Description","WBXA095.Count","WBXA095.Cumulative","WBXA095.Skip.to.Item"
"-127.3724 to 0.9981","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
