"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"T4","T4",2995,2995,NA
"< blank >","Missing",713,3708,NA
