"AUDTYL66.Code.or.Value","AUDTYL66.Value.Description","AUDTYL66.Count","AUDTYL66.Cumulative","AUDTYL66.Skip.to.Item"
"0 to 2.16","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
