"DSQTTFAT.Code.or.Value","DSQTTFAT.Value.Description","DSQTTFAT.Count","DSQTTFAT.Cumulative","DSQTTFAT.Skip.to.Item"
"0 to 29","Range of Values",647,647,NA
".","Missing",9890,10537,NA
