"MCQ240k.Code.or.Value","MCQ240k.Value.Description","MCQ240k.Count","MCQ240k.Cumulative","MCQ240k.Skip.to.Item"
"80","80 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",9575,9575,NA
