"WTMREP03.Code.or.Value","WTMREP03.Value.Description","WTMREP03.Count","WTMREP03.Cumulative","WTMREP03.Skip.to.Item"
"0 to 261389.69805","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
