"DXXPT0X.Code.or.Value","DXXPT0X.Value.Description","DXXPT0X.Count","DXXPT0X.Cumulative","DXXPT0X.Skip.to.Item"
"103.4 to 747.2","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
