"VTQ271B.Code.or.Value","VTQ271B.Value.Description","VTQ271B.Count","VTQ271B.Cumulative","VTQ271B.Skip.to.Item"
"1 to 48","Range of Values",2651,2651,NA
"77","Refused",0,2651,NA
"99","Don't know",4,2655,NA
".","Missing",834,3489,NA
