"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"5 to 45000","Range of Values",932,932,NA
".","Missing",8881,9813,NA
