"RFXT168.Code.or.Value","RFXT168.Value.Description","RFXT168.Count","RFXT168.Cumulative","RFXT168.Skip.to.Item"
"1468 to 1477","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
