"DXXSMX.Code.or.Value","DXXSMX.Value.Description","DXXSMX.Count","DXXSMX.Cumulative","DXXSMX.Skip.to.Item"
"0 to 1","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
